"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"769.0","0.0472","8.7542e-003","401.6",
"770.0","0.0423","7.8454e-003","360.9",
"771.0","0.0378","7.0008e-003","322.5",
"772.0","0.0335","6.2149e-003","286.9",
"773.0","0.0296","5.4902e-003","255.5",
"774.0","0.0266","4.9314e-003","231.9",
"775.0","0.0238","4.4152e-003","210.6",
"776.0","0.0208","3.8465e-003","189.4",
"777.0","0.0186","3.4446e-003","172.8",
"778.0","0.0173","3.2134e-003","162.8",
"779.0","0.0160","2.9609e-003","153.0",
"780.0","0.0142","2.6289e-003","140.5",
"781.0","0.0126","2.3353e-003","129.8",
"782.0","0.0114","2.1044e-003","121.3",
"783.0","0.0107","1.9834e-003","116.2",
"784.0","0.0098","1.8181e-003","110.3",
"785.0","0.0088","1.6386e-003","104.1",
"786.0","0.0085","1.5674e-003","100.9",
"787.0","0.0081","1.4994e-003","98.3",
"788.0","0.0072","1.3360e-003","92.9",
"789.0","0.0066","1.2202e-003","88.8",
"790.0","0.0059","1.0921e-003","85.1",
"791.0","0.0056","1.0381e-003","83.0",
"792.0","0.0051","9.4873e-004","80.1",
"793.0","0.0049","9.0762e-004","78.6",
"794.0","0.0050","9.1906e-004","78.4",
"795.0","0.0048","8.8965e-004","77.4",
"796.0","0.0044","8.1547e-004","75.3",
"797.0","0.0039","7.3001e-004","72.9",
"798.0","0.0037","6.8561e-004","71.4",
"799.0","0.0035","6.4974e-004","70.4",
"800.0","0.0036","6.5905e-004","70.6",
